source,make,model,year,price,mileage,location,listing_date,link_to_buyer,link_to_image
kijijiauto,Mazda,CX-3,2017,12999,90812,"Pickering, ON",2024-03-11,https://www.kijijiautos.ca/vip/29829310,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Honda,Civic,2019,17950,196152,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/29435801,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Ford,,2019,43095,76385,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/30101302,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Ford,,2016,22899,99112,"Pickering, ON",2024-03-11,https://www.kijijiautos.ca/vip/30241922,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,GMC,,2023,79998,14000,"Guelph, ON",2024-03-11,https://www.kijijiautos.ca/vip/30411467,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Jeep,Wrangler,2018,35880,71765,"Scarborough, ON",2024-03-11,https://www.kijijiautos.ca/vip/30410201,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Jeep,Cherokee,2019,27910,77358,"Vaughan, ON",2024-03-11,https://www.kijijiautos.ca/vip/31577616,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Mazda,GS,2021,23950,49000,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/30411065,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Dodge,Journey,2017,15998,108689,"Oshawa, ON",2024-03-11,https://www.kijijiautos.ca/vip/24735581,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Lexus,IS,2020,31995,24746,"Oakville, ON",2024-03-11,https://www.kijijiautos.ca/vip/30187075,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Land Rover,Range Rover,2019,46898,66273,"Vaughan, ON",2024-03-11,https://www.kijijiautos.ca/vip/29643760,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Chevrolet,Trax,2016,7998,200603,"North York, ON",2024-03-11,https://www.kijijiautos.ca/vip/27234210,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,RAM,,2019,35998,77800,"Guelph, ON",2024-03-11,https://www.kijijiautos.ca/vip/31543341,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Ford,Edge,2020,24995,10909,"Scarborough, ON",2024-03-11,https://www.kijijiautos.ca/vip/25461384,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Volvo,V60,2017,8650,100736,"Orillia, ON",2024-03-11,https://www.kijijiautos.ca/vip/25140033,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
